ID,Hue,C1state_2,C1state_3,C1state_4,C1RCR,C1MMP,C2state_2,C2state_3,C2state_4,C2RCR,C2MMP,H2O2,4_HNE,Protein_Carbonyl,PGC_1a,CS
7261,23.33,7.387,46.016,15.483,2.97,335,24.207,112.59,33.695,3.34,258,2.510,0.570,1.249,0.0651,0.0006
7271,33.00,10.515,33.656,12.320,2.73,205,26.549,74.99,28.918,2.59,321,8.345,0.766,1.169,0.0691,0.0011
7281,9.67,NA,NA,NA,4.51,358,NA,NA,NA,2.85,223,,0.903,0.850,0.0512,0.0009
7282,12.00,NA,NA,NA,2.06,291,NA,NA,NA,3.40,203,,0.567,1.585,0.0691,0.0007
8031,17.33,14.567,107.469,26.619,4.04,367,41.166,146.69,46.563,3.15,267,4.345,0.609,1.453,0.0546,0.0007
8032,13.33,16.137,79.062,40.364,1.96,339,45.306,128.53,72.627,1.77,245,10.644,0.447,0.916,0.0522,0.0005
8041,8.00,8.872,71.511,19.539,3.66,409,24.455,91.81,28.421,3.23,250,5.418,0.616,0.896,0.0507,0.0011
8101,14.67,13.218,75.132,51.561,1.46,489,39.304,153.82,59.278,2.59,330,4.391,0.694,0.904,0.0606,0.0006
8104,14.00,12.283,63.644,21.958,2.90,431,36.501,115.32,44.421,2.60,330,18.228,0.574,0.644,0.0791,0.0007
8105,23.67,17.426,61.419,34.675,1.77,295,17.017,85.21,56.027,1.52,215,16.385,0.522,1.289,0.0667,0.0006
8106,21.00,NA,NA,NA,NA,347,NA,NA,NA,NA,527,15.955,0.649,0.694,0.0751,0.0008
8161,14.33,9.244,67.442,23.993,2.81,374,20.105,116.83,28.915,4.04,219,6.715,0.209,1.576,0.0523,0.0007
8162,7.67,7.594,39.101,8.500,4.60,450,23.723,85.75,22.046,3.89,327,3.673,0.523,1.763,0.0504,0.0005
8163,12.67,14.447,55.704,19.363,2.88,531,30.890,95.47,41.525,2.30,368,5.278,0.766,1.404,0.0490,0.0006
8165,15.33,14.221,56.243,12.596,4.47,499,32.606,113.68,39.413,2.88,318,3.404,0.381,2.053,0.0573,0.0010
8191,20.33,18.360,74.173,14.331,5.18,417,42.137,133.87,33.617,3.98,339,5.327,0.578,0.730,0.0500,0.0008
8192,6.33,13.302,70.809,11.160,6.34,363,20.582,103.75,16.088,6.45,265,2.359,0.602,1.790,0.0702,0.0009
8193,11.33,6.782,84.342,23.911,3.53,374,25.422,139.83,24.678,5.67,239,5.377,0.294,2.012,0.0490,0.0007
8194,13.33,21.744,62.672,13.272,4.72,435,35.459,96.55,41.599,2.32,334,4.060,0.328,1.941,0.0502,0.0007
8195,19.00,16.393,69.217,15.462,4.48,417,38.943,99.19,25.755,3.85,260,7.046,0.297,1.548,0.0524,0.0008
8196,4.33,8.486,56.832,9.471,6.00,407,17.073,61.97,27.393,2.26,207,17.534,0.311,1.297,0.0488,0.0011
8211,3.67,15.065,66.989,12.202,5.49,373,25.347,90.66,30.048,3.02,286,6.079,1.118,1.981,0.0627,0.0006
8212,6.33,11.902,104.564,22.249,4.70,400,20.232,115.48,28.630,4.03,258,5.275,0.897,2.851,0.0597,0.0008
8213,7.33,20.665,61.598,12.884,4.78,426,32.112,123.56,26.066,4.74,292,3.865,1.304,2.237,0.0642,0.0006
8214,12.33,9.722,40.199,15.982,2.52,456,25.249,94.17,36.487,2.58,290,8.847,1.842,1.012,0.0751,0.0008
8215,22.67,11.460,75.968,22.831,3.33,479,24.360,114.69,24.360,4.71,280,5.856,1.107,1.699,0.0921,0.0007
8218,11.67,5.100,86.494,20.540,4.21,337,22.281,108.84,32.476,3.35,221,3.074,1.271,0.797,0.0733,0.0008
82110,27.67,13.933,72.360,18.400,3.93,379,33.682,121.90,32.921,3.70,270,4.951,0.922,0.786,0.1232,0.0010
82112,23.67,9.033,65.579,27.897,2.35,419,33.434,93.21,18.976,4.91,202,5.909,1.077,1.112,0.0996,0.0008
8251,20.33,12.048,85.276,23.897,3.57,400,40.486,145.93,30.919,4.72,332,2.936,0.975,0.763,0.1011,0.0008
8252,19.33,8.409,75.374,37.367,2.02,452,37.654,127.31,54.274,2.35,273,5.658,0.823,0.648,0.1068,0.0010
8253,17.00,16.075,65.184,13.305,4.90,320,15.307,60.45,18.979,3.19,179,5.295,1.891,0.703,0.1141,0.0009
8254,8.00,NA,77.582,14.884,5.21,389,39.422,145.61,58.898,2.47,354,8.430,1.071,1.123,0.1221,0.0013
8255,20.33,NA,61.374,25.720,2.39,441,NA,NA,NA,NA,333,5.924,0.986,3.284,0.0500,0.0009
8256,5.33,11.666,59.249,11.619,5.10,414,30.158,115.08,39.677,2.90,266,4.373,1.947,2.443,0.0653,0.0009
8257,4.33,14.300,72.185,13.016,5.55,537,26.103,105.05,25.703,4.09,289,4.127,1.141,1.709,0.0474,0.0010
