Treatment,Sex,SLA
Water,Female,10743
Water,Female,10228
Water,Female,5060
Water,Female,9007
Water,Female,9036
Water,Female,20977
Water,Female,9003
Water,Female,7452
Water,Female,15655
Water,Female,6786
Water,Female,9520
Water,Female,9524
Water,Female,6941
Water,Male,5961
Water,Male,7020
Water,Male,4242
Water,Male,5348
Water,Male,5550
Water,Male,5286
Water,Male,5052
Water,Male,6422
Water,Male,7502
Water,Male,4252
Water,Male,5130
Water,Male,3649
Water,Male,3825
Water,Male,3855
Water,Male,1805
Water,Male,8946
Water,Male,8018
Water,Male,9925
Nicotine,Male,6256
Nicotine,Male,3956
Nicotine,Male,4534
Nicotine,Male,7436
Nicotine,Male,12826
Nicotine,Male,10216
Nicotine,Male,21218
Nicotine,Male,7880
Nicotine,Male,15277
Nicotine,Male,9083
Nicotine,Male,6316
Nicotine,Male,17078
Nicotine,Female,6238
Nicotine,Female,7192
Nicotine,Female,9394
Nicotine,Female,7641
Nicotine,Female,23227
Nicotine,Female,20824
Nicotine,Female,18331
Nicotine,Female,22022
Nicotine,Female,14177
Nicotine,Female,13936
Nicotine,Female,17304
