treatment,individual,EL,EW,FPW,GW,HL,ML,MPW,MW,PL,PC1,PC2
ILPA,1,1316.28,1479.62,1193.65,1087.87,166.56,260.82,1479.8,190.44,1048.03,-1.685539381,-2.412925751
ILPA,2,1155.88,1336.49,1099.79,988.32,152.32,235.36,1379.62,156.62,981.42,-4.831529852,-0.917658992
ILPA,3,1263.82,1560.32,1168.72,1090.65,152.59,287.16,1454.45,165.25,1016.97,-2.179557548,-2.808232305
ILPA,4,1195.41,1318.9,1122.69,990.37,174.18,238.62,1374.13,193.85,1000.89,-4.045905369,-0.352427832
ILPA,5,1199.77,1322.51,1040.64,948.88,174.74,138.9,1314.94,142.76,923.37,-5.614049146,-0.869402708
ILPA,6,1202.13,1567.1,1123.37,1056.75,178.35,218.46,1463.85,183.91,1045.92,-2.344139205,-2.056535135
ILPA,7,1314.47,1436.36,1158.92,1066.4,172.68,219.27,1477.01,187.17,1048.42,-2.149602998,-2.170164523
ILPA,8,1191.94,1343.37,1070.8,949.1,151.68,150.17,1346.3,134.96,941.87,-5.517096677,-1.518970802
ILPA,9,1327.18,1445.16,1161.55,1065.65,196.39,262.8,1473.75,199.32,1019,-1.720252791,-1.590038355
ILPA,10,1250.25,1376.23,1063.36,1029.51,212.67,219.81,1352.82,142.57,1003.2,-3.719373407,-0.829683571
ILPA,11,1215.65,1384.2,1156.59,1026.11,157,212.01,1399.74,163.59,1004.03,-3.800258369,-1.618142518
ILPA,12,1235.86,1396.8,1170.6,1055.68,176.08,264.56,1440.78,186.7,1004.4,-2.857662937,-1.164253365
ILPA,14,1169.07,1326.67,1121.16,1085.8,196.81,283.84,1417.5,180.97,1010.63,-3.438591506,0.116171519
ILPA,15,1272.98,1395.44,1155.21,1090.59,176.91,260.31,1455.29,203.5,1019.34,-2.430029382,-1.186783145
ILPA,16,1271.85,1322.64,1236.09,1059.42,112.77,220.82,1466.1,193.08,1014.97,-3.349386566,-2.247562618
ILPA,17,1231.49,1307.49,1106.6,1047.5,174.7,258.03,1375.75,178.62,1010.23,-3.84158133,-0.554284097
ILPA,18,1209.96,1324.74,1065.26,947.06,179.78,190.24,1345.13,176.37,968.74,-4.722971259,-0.532828376
ILPA,19,1246.19,1353.17,1107.7,972.44,159.59,197.43,1367.97,152.32,964.33,-4.485389203,-1.581465927
ILPA,20,1188.26,1312.67,1079.68,970.17,153.15,180.67,1325.25,159.29,954.16,-5.340300029,-0.923319235
ILPA,21,1175.47,1235,1080.09,915.63,148.17,128.2,1321.78,145.42,931.45,-6.266955042,-0.806912844
ILPA,22,1342.38,1388.83,1176.72,1126.29,177.58,295.79,1468.71,189.32,1060.67,-1.696097642,-1.741820196
ILPA,23,1215.66,1308.95,1077.88,978.58,157.06,231.51,1368.74,158.73,934.92,-4.953006563,-0.896577258
ILPA,24,1221.33,1327.72,1088.31,995.06,172.53,246.36,1358.01,149.48,957.49,-4.553653631,-0.87738692
ILPB,1,1376.18,1579.39,1366.67,1536.95,205.66,597.89,1658.45,280.2,1172,3.963878352,-1.185931303
ILPB,2,1352.16,1490.02,1285.33,1474.95,169.24,572.78,1609.17,282.32,1159.19,2.291971334,-0.969538163
ILPB,3,1406.82,1524.74,1341.07,1537.03,225.94,662.15,1652.4,290.36,1205.72,4.374895449,-0.453776968
ILPB,4,1317.48,1560.22,1327.32,1477.16,221.17,629.79,1624.58,272.67,1160.57,3.320346512,-0.358052927
ILPB,5,1386.5,1517.33,1335.61,1535.95,214.5,657.88,1647.38,286.45,1185.53,3.945257658,-0.469119914
ILPB,6,1265.13,1429.45,1163.29,1359.79,205.69,544.98,1502.03,267.15,1065.97,0.243915697,0.749831809
ILPB,7,1286.98,1427.01,1245.17,1379.21,199.02,577.59,1521.44,274.71,1093,0.982595241,0.468678445
ILPB,8,1284.71,1410.94,1238.58,1374.58,199.61,571.31,1501.64,246.81,1118.05,0.705977744,0.23980829
ILPB,9,1297.24,1405.84,1207.79,1331.17,175.19,535.33,1506.36,241.34,1088.8,0.002892071,-0.301560492
ILPB,10,1371.69,1475.86,1269.81,1451.07,221.14,574.61,1588.18,283.12,1108.63,2.488507374,-0.008986856
ILPB,11,1336.56,1497.02,1317.91,1499.29,190.18,571.31,1616.52,298,1156.49,2.779713512,-0.447015154
ILPB,12,1289.6,1436.31,1253.86,1443.02,193.41,523.86,1551.42,292.96,1128.11,1.397787642,0.282021972
ILPB,13,1231.24,1336.25,1145.34,1203.51,136.04,474.88,1385.56,232.39,1034.16,-2.520196069,-0.092019969
ILPB,14,1329.33,1489.37,1313.54,1500.32,179.45,575.76,1609.97,290.84,1174.97,2.600057633,-0.618624077
ILPB,15,1289.01,1453.99,1292.2,1442.26,217.04,598.59,1572.55,295.69,1146.04,2.266658635,0.665649223
ILPB,16,1255.53,1349.85,1141.06,1282.62,182.18,479.31,1459.43,260.82,1037.47,-1.17924066,0.709728903
ILPB,17,1284.53,1409.51,1245.71,1429.13,221.4,558.82,1551.82,292.72,1108.98,1.510990537,1.052495118
ILPB,18,1376.18,1521.1,1352.3,1543.36,244.93,573.74,1637.76,328.97,1184.41,4.340904442,0.300140755
ILPB,19,1368.94,1519.13,1353.43,1548.39,192.49,640.26,1682.85,271.26,1211.93,3.822611414,-1.09098385
ILPB,20,1344.45,1475.18,1309.43,1501.76,230.01,619.31,1603.6,300.41,1174.34,3.314659534,0.440573747
ILPB,21,1378.53,1525.63,1339.79,1517.11,221.17,545,1650.66,303.91,1167.9,3.725732994,-0.481517714
ILPB,22,1305,1456.02,1289.6,1440.3,222.46,448.19,1570.22,284.6,1126.18,1.813219152,0.133431283
ILPB,23,1429.28,1514.86,1338.67,1524.91,205.46,586.92,1646.52,310.91,1205.58,4.089715649,-0.849383583
ILPB,24,1371.42,1491.78,1316.22,1488.37,216.13,540.35,1639.49,295.62,1128.32,3.041934503,-0.320789615
ILPC,1,,1258.54,1500.3,1179.23,163.77,495.34,1072.46,278.48,1395.17,,
