Line,Host,Passage,CI
1,WT,4,10.19
1,WT,4,4.36
1,WT,4,0.07
1,WT,4,8.44
1,WT,4,1.73
1,WT,4,1.85
1,WT,4,4.11
1,WT,4,0.08
1,WT,4,20.45
1,WT,4,78.32
1,WT,4,5.66
1,WT,4,28.79
1,WT,4,4.77
1,WT,4,0.58
1,WT,4,2.36
1,WT,4,0.7
1,WT,18,22.22
1,WT,18,14.47
1,WT,18,2541.67
1,WT,18,3208.33
1,WT,18,38.19
1,WT,18,16.75
1,WT,18,338.54
1,WT,18,10.22
1,WT,18,10617.28
1,WT,18,377.63
1,WT,18,339.98
1,WT,18,150.46
1,WT,18,235.52
1,WT,18,7.77
1,WT,18,471.38
1,WT,18,2693.6
1,myd88,4,681.82
1,myd88,4,11.66
1,myd88,4,1.47
1,myd88,4,10.84
1,myd88,4,11.17
1,myd88,4,40.91
1,myd88,4,238.93
1,myd88,4,259.74
1,myd88,4,1.18
1,myd88,4,4.58
1,myd88,4,41.89
1,myd88,4,0.14
1,myd88,4,12.23
1,myd88,4,8.88
1,myd88,4,33.93
1,myd88,4,3.59
1,myd88,18,10.17
1,myd88,18,2.45
1,myd88,18,3.07
1,myd88,18,1619.05
1,myd88,18,453.51
1,myd88,18,2.06
1,myd88,18,234.52
1,myd88,18,5.65
1,myd88,18,149.55
1,myd88,18,222.46
1,myd88,18,19.77
1,myd88,18,8.47
1,myd88,18,1796.61
1,myd88,18,124.02
1,myd88,18,41.93
1,myd88,18,247.72
2,WT,4,5.43
2,WT,4,2.09
2,WT,4,68.33
2,WT,4,575
2,WT,4,233.33
2,WT,4,9.38
2,WT,4,7.5
2,WT,4,0.39
2,WT,4,12.2
2,WT,4,1.88
2,WT,4,1.7
2,WT,4,2.1
2,WT,4,119.51
2,WT,4,2.52
2,WT,4,22.87
2,WT,4,0.77
2,WT,18,191.28
2,WT,18,1016.55
2,WT,18,1037.04
2,WT,18,324.07
2,WT,18,722.22
2,WT,18,1205.27
2,WT,18,547.62
2,WT,18,403.51
2,WT,18,2617.65
2,WT,18,99.26
2,WT,18,1161.76
2,WT,18,92.94
2,WT,18,387.25
2,WT,18,1.53
2,WT,18,0.96
2,WT,18,15.69
2,myd88,4,81.3
2,myd88,4,36.59
2,myd88,4,0.66
2,myd88,4,62.72
2,myd88,4,292.68
2,myd88,4,250
2,myd88,4,243.9
2,myd88,4,195.12
2,myd88,4,228.17
2,myd88,4,125.4
2,myd88,4,82.77
2,myd88,4,86.52
2,myd88,4,192.15
2,myd88,4,39.8
2,myd88,4,10.18
2,myd88,4,5.08
2,myd88,18,2.45
2,myd88,18,23.81
2,myd88,18,14965.99
2,myd88,18,23.85
2,myd88,18,1.31
2,myd88,18,22.53
2,myd88,18,583.09
2,myd88,18,8.75
2,myd88,18,1048.61
2,myd88,18,126.98
2,myd88,18,174.6
2,myd88,18,2555.56
2,myd88,18,67.46
2,myd88,18,117.91
2,myd88,18,687.83
2,myd88,18,846.15
3,WT,4,5.32
3,WT,4,14.34
3,WT,4,0.54
3,WT,4,0.77
3,WT,4,20.86
3,WT,4,14.23
3,WT,4,2.02
3,WT,4,0.16
3,WT,4,6.54
3,WT,4,0.44
3,WT,4,57.78
3,WT,4,1.35
3,WT,4,104.76
3,WT,4,155.56
3,WT,4,12.78
3,WT,4,2.28
3,WT,18,2.23
3,WT,18,116.78
3,WT,18,143.55
3,WT,18,70.44
3,WT,18,539.77
3,WT,18,607.31
3,WT,18,172.36
3,WT,18,431.49
3,WT,18,260.5
3,WT,18,6.21
3,WT,18,18.55
3,WT,18,273.66
3,WT,18,5.75
3,WT,18,172.46
3,WT,18,1150.9
3,WT,18,849.67
3,WT,18,5.34
3,WT,18,782.35
3,WT,18,5.22
3,WT,18,358.82
3,WT,18,1500
3,WT,18,269.23
3,WT,18,190.48
3,WT,18,93.75
3,myd88,4,308.88
3,myd88,4,25
3,myd88,4,14.64
3,myd88,4,103.57
3,myd88,4,48.57
3,myd88,4,63.95
3,myd88,4,27.43
3,myd88,4,45.35
3,myd88,4,3.78
3,myd88,4,4.18
3,myd88,4,55.26
3,myd88,4,158.73
3,myd88,4,45.08
3,myd88,4,14.81
3,myd88,4,317.46
3,myd88,4,7.94
3,myd88,18,7.5
3,myd88,18,3.65
3,myd88,18,8.62
3,myd88,18,60.27
3,myd88,18,1.77
3,myd88,18,1.91
3,myd88,18,58.75
3,myd88,18,12.5
3,myd88,18,120
3,myd88,18,8.61
3,myd88,18,32.5
3,myd88,18,38.67
3,myd88,18,2.05
3,myd88,18,10.67
3,myd88,18,17.38
3,myd88,18,92.22
3,myd88,18,432.58
3,myd88,18,7.64
3,myd88,18,126.52
3,myd88,18,71.43
3,myd88,18,114.64
3,myd88,18,129.59
3,myd88,18,83.14
3,myd88,18,223.4
