treatment in phase i,inoculum,root_mass,leaf_mass
NP,whole soil,0.138,0.103
NP,whole soil,0.1,0.06
NP,whole soil,0.111,0.099
NP,whole soil,0.059,0.062
NP,whole soil,0.017,0.024
NP,whole soil,0.214,0.12
NP,whole soil,0.19,0.175
NP,whole soil,0.088,0.051
NP,whole soil,0.149,0.109
NP,whole soil,0.188,0.092
NP,1000um,0.363,0.216
NP,1000um,0.313,0.344
NP,1000um,0.417,0.351
NP,1000um,0.281,0.314
NP,1000um,0.215,0.2196
NP,1000um,0.058,0.067
NP,1000um,0.255,0.266
NP,1000um,0.275,0.193
NP,1000um,0.274,0.299
NP,1000um,0.105,0.127
NP,20um,0.446,0.572
NP,20um,0.416,0.394
NP,20um,0.365,0.3995
NP,20um,0.391,0.4693
NP,20um,0.343,0.503
NP,20um,0.357,0.38
NP,20um,0.346,0.332
NP,20um,0.358,0.453
NP,20um,0.535,0.4135
NP,20um,0.367,0.372
NP,5um,0.573,0.507
NP,5um,0.519,0.678
NP,5um,0.449,0.394
NP,5um,0.541,0.717
NP,5um,0.578,0.608
NP,5um,0.439,0.591
NP,5um,0.402,0.619
NP,5um,0.535,0.569
NP,5um,0.585,0.571
NP,5um,0.389,0.5352
NP,0.2um,0.518,0.591
NP,0.2um,0.518,0.439
NP,0.2um,0.513,0.536
NP,0.2um,0.391,0.407
NP,0.2um,0.628,0.595
NP,0.2um,0.546,0.641
NP,0.2um,0.589,0.569
P,whole soil,0.05,0.048
P,whole soil,0.051,0.046
P,whole soil,0.049,0.044
P,whole soil,0.054,0.039
P,whole soil,0.062,0.054
P,whole soil,0.015,0.023
P,whole soil,0.017,0.014
P,whole soil,0.094,0.07
P,whole soil,0.032,0.033
P,whole soil,0.082,0.057
P,1000um,0.195,0.256
P,1000um,0.32,0.289
P,1000um,0.15,0.161
P,1000um,0.238,0.201
P,1000um,0.338,0.29
P,1000um,0.328,0.286
P,1000um,0.208,0.15
P,1000um,0.217,0.177
P,1000um,0.172,0.1423
P,1000um,0.336,0.258
P,20um,0.342,0.305
P,20um,0.224,0.268
P,20um,0.238,0.299
P,20um,0.295,0.319
P,20um,0.339,0.355
P,20um,0.264,0.333
P,20um,0.222,0.3
P,20um,0.277,0.391
P,20um,0.3,0.29
P,20um,0.279,0.318
P,5um,0.414,0.4666
P,5um,0.246,0.285
P,5um,0.267,0.401
P,5um,0.338,0.476
P,5um,0.289,0.346
P,5um,0.388,0.382
P,5um,0.268,0.347
P,5um,0.332,0.344
P,5um,0.354,0.437
P,5um,0.382,0.652
P,5um,0.288,0.424
