"","Binomial","order","family","genus","species","Mean_brain_mass_g","Mean_body_mass_Kg"
"109","Mustela_erminea","Carnivora","Mustelidae","Mustela","erminea",4.57,0.15643
"110","Mephitis_mephitis","Carnivora","Mephitidae","Mephitis","mephitis",10.15,1.98
"111","Pusa_caspica","Carnivora","Phocidae","Pusa","caspica",162.5,62.75
"112","Pusa_sibirica","Carnivora","Phocidae","Pusa","sibirica",187.5,89.5
"113","Pusa_hispida","Carnivora","Phocidae","Pusa","hispida",196.25,69.085
"114","Histriophoca_fasciata","Carnivora","Phocidae","Histriophoca","fasciata",248.75,87.58
"115","Phoca_largha","Carnivora","Phocidae","Phoca","largha",253.75,91.5
"116","Panthera_tigris","Carnivora","Felidae","Panthera","tigris",269.73,195
"117","Arctocephalus_galapagoensis","Carnivora","Otariidae","Arctocephalus","galapagoensis",291.25,45.95
"118","Arctocephalus_australis","Carnivora","Otariidae","Arctocephalus","australis",307.5,103.75
"119","Halichoerus_grypus","Carnivora","Phocidae","Halichoerus","grypus",307.5,194
"120","Arctocephalus_forsteri","Carnivora","Otariidae","Arctocephalus","forsteri",320,109.69
"121","Arctocephalus_tropicalis","Carnivora","Otariidae","Arctocephalus","tropicalis",326.25,101.25
"122","Callorhinus_ursinus","Carnivora","Otariidae","Callorhinus","ursinus",334.83,150.91667
"123","Ursus_arctos","Carnivora","Ursidae","Ursus","arctos",335.97,131.02267
"124","Arctocephalus_gazella","Carnivora","Otariidae","Arctocephalus","gazella",340,96.6
"125","Arctocephalus_pusillus","Carnivora","Otariidae","Arctocephalus","pusillus",369.38,178.75
"126","Neophoca_cinerea","Carnivora","Otariidae","Neophoca","cinerea",388.75,189.275
"127","Phocarctos_hookeri","Carnivora","Otariidae","Phocarctos","hookeri",393.75,273.5
"128","Cystophora_cristata","Carnivora","Phocidae","Cystophora","cristata",455,282.84
"129","Monachus_monachus","Carnivora","Phocidae","Monachus","monachus",480,280.5
"130","Ommatophoca_rossii","Carnivora","Phocidae","Ommatophoca","rossii",495,179.4
"131","Otaria_flavescens","Carnivora","Otariidae","Otaria","flavescens",506.25,222
"132","Ursus_maritimus","Carnivora","Ursidae","Ursus","maritimus",507,317
"133","Leptonychotes_weddellii","Carnivora","Phocidae","Leptonychotes","weddellii",564.17,378.66667
"134","Lobodon_carcinophaga","Carnivora","Phocidae","Lobodon","carcinophaga",586.25,222.25
"135","Eumetopias_jubatus","Carnivora","Otariidae","Eumetopias","jubatus",661.25,643.775
"136","Hydrurga_leptonyx","Carnivora","Phocidae","Hydrurga","leptonyx",712.5,345.5
"137","Mirounga_leonina","Carnivora","Phocidae","Mirounga","leonina",1205,2006.5
"138","Odobenus_rosmarus","Carnivora","Odobenidae","Odobenus","rosmarus",1410.25,1022.225
"139","Vulpes_vulpes","Carnivora","Canidae","Vulpes","vulpes",49.64,3.72271
"140","Genetta_tigrina","Carnivora","Viverridae","Genetta","tigrina",15.35,1.525
"141","Otocyon_megalotis","Carnivora","Canidae","Otocyon","megalotis",26.09,3.335
"142","Potos_flavus","Carnivora","Procyonidae","Potos","flavus",33.08,2.2415
"143","Nasua_nasua","Carnivora","Procyonidae","Nasua","nasua",37.5,3.1875
"144","Bassariscus_sumichrasti","Carnivora","Procyonidae","Bassariscus","sumichrasti",41.9,2.722
"145","Melursus_ursinus","Carnivora","Ursidae","Melursus","ursinus",267,136.08
"146","Helarctos_malayanus","Carnivora","Ursidae","Helarctos","malayanus",385.5,45.02
"147","Erignathus_barbatus","Carnivora","Phocidae","Erignathus","barbatus",460,281
"148","Pagophilus_groenlandicus","Carnivora","Phocidae","Pagophilus","groenlandicus",275,132.25
"149","Mirounga_angustirostris","Carnivora","Phocidae","Mirounga","angustirostris",670,700
"150","Procyon_lotor","Carnivora","Procyonidae","Procyon","lotor",41.07,4.97567
"151","Nasua_narica","Carnivora","Procyonidae","Nasua","narica",44.17,6.25
"152","Phoca_vitulina","Carnivora","Phocidae","Phoca","vitulina",315,73.635
"153","Mustela_putorius","Carnivora","Mustelidae","Mustela","putorius",7.87,0.915
"154","Ichneumia_albicauda","Carnivora","Herpestidae","Ichneumia","albicauda",28.3,4.4
"155","Urocyon_cinereoargenteus","Carnivora","Canidae","Urocyon","cinereoargenteus",37.28,3.749
"156","Leptailurus_serval","Carnivora","Felidae","Leptailurus","serval",54.1,11.34
"157","Leopardus_pardalis","Carnivora","Felidae","Leopardus","pardalis",63.1,9.5255
"158","Lynx_rufus","Carnivora","Felidae","Lynx","rufus",65,6.35
"159","Lynx_canadensis","Carnivora","Felidae","Lynx","canadensis",69.5,14.969
"160","Panthera_pardus","Carnivora","Felidae","Panthera","pardus",135,48
"161","Puma_concolor","Carnivora","Felidae","Puma","concolor",154,54.432
"162","Ursus_americanus","Carnivora","Ursidae","Ursus","americanus",248,25.99
"163","Monachus_schauinslandi","Carnivora","Phocidae","Monachus","schauinslandi",370,173
"164","Arctocephalus_philippii","Carnivora","Otariidae","Arctocephalus","philippii",415,140
"165","Genetta_pardina","Carnivora","Viverridae","Genetta","pardina",15.4,1.032
"166","Mustela_nivalis","Carnivora","Mustelidae","Mustela","nivalis",2,0.06
"167","Mustela_frenata","Carnivora","Mustelidae","Mustela","frenata",4,0.165
"168","Mustela_altaica","Carnivora","Mustelidae","Mustela","altaica",4.48,0.19
"169","Ictonyx_libyca","Carnivora","Mustelidae","Ictonyx","libyca",4.48,0.23
"170","Poecilogale_albinucha","Carnivora","Mustelidae","Poecilogale","albinucha",4.5,0.25
"171","Helogale_parvula","Carnivora","Herpestidae","Helogale","parvula",4.8,0.267
"172","Vormela_peregusna","Carnivora","Mustelidae","Vormela","peregusna",4.8,0.448
"173","Spilogale_putorius","Carnivora","Mephitidae","Spilogale","putorius",5,0.326
"174","Mustela_sibirica","Carnivora","Mustelidae","Mustela","sibirica",6,0.395
"175","Spilogale_gracilis","Carnivora","Mephitidae","Spilogale","gracilis",6.81,0.42
"176","Neovison_vison","Carnivora","Mustelidae","Neovison","vison",7,0.645
"177","Herpestes_javanicus","Carnivora","Herpestidae","Herpestes","javanicus",7.2,0.527
"178","Mustela_lutreolina","Carnivora","Mustelidae","Mustela","lutreolina",8.5,0.538
"179","Mustela_lutreola","Carnivora","Mustelidae","Mustela","lutreola",8.5,0.59
"180","Prionodon_linsang","Carnivora","Viverridae","Prionodon","linsang",8.5,0.698
"181","Ictonyx_striatus","Carnivora","Mustelidae","Ictonyx","striatus",8.5,0.713
"182","Mustela_nigripes","Carnivora","Mustelidae","Mustela","nigripes",8.5,0.809
"183","Galerella_sanguinea","Carnivora","Herpestidae","Galerella","sanguinea",8.8,0.533
"184","Prionodon_pardicolor","Carnivora","Viverridae","Prionodon","pardicolor",9.03,0.45
"185","Crossarchus_obscurus","Carnivora","Herpestidae","Crossarchus","obscurus",9.99,0.865
"186","Suricata_suricatta","Carnivora","Herpestidae","Suricata","suricatta",10.3,0.725
"187","Herpestes_edwardsi","Carnivora","Herpestidae","Herpestes","edwardsi",10.49,1.26
"188","Cynictis_penicillata","Carnivora","Herpestidae","Cynictis","penicillata",10.5,0.571
"189","Mungos_mungo","Carnivora","Herpestidae","Mungos","mungo",10.5,0.86
"190","Galidia_elegans","Carnivora","Eupleridae","Galidia","elegans",10.7,0.914
"191","Salanoia_concolor","Carnivora","Eupleridae","Salanoia","concolor",11.02,0.78
"192","Galerella_pulverulenta","Carnivora","Herpestidae","Galerella","pulverulenta",11.02,0.84
"193","Herpestes_fuscus","Carnivora","Herpestidae","Herpestes","fuscus",12.55,1.12
"194","Conepatus_humboldtii","Carnivora","Mephitidae","Conepatus","humboldtii",12.6,1.294
"195","Genetta_genetta","Carnivora","Viverridae","Genetta","genetta",14,1.82
"196","Conepatus_leuconotus","Carnivora","Mephitidae","Conepatus","leuconotus",14.4,2.01
"197","Herpestes_smithii","Carnivora","Herpestidae","Herpestes","smithii",14.6,1.205
"198","Mydaus_marchei","Carnivora","Mephitidae","Mydaus","marchei",14.87,1.414
"199","Genetta_angolensis","Carnivora","Viverridae","Genetta","angolensis",15.49,2.1
"200","Martes_americana","Carnivora","Mustelidae","Martes","americana",15.8,0.86
"201","Paracynictis_selousi","Carnivora","Herpestidae","Paracynictis","selousi",15.8,1.7
"202","Bassariscus_astutus","Carnivora","Procyonidae","Bassariscus","astutus",16,0.985
"203","Genetta_servalina","Carnivora","Viverridae","Genetta","servalina",16,1.295
"204","Viverricula_indica","Carnivora","Viverridae","Viverricula","indica",16.78,2.66
"205","Bdeogale_crassicauda","Carnivora","Herpestidae","Bdeogale","crassicauda",16.95,1.25
