Diet,Pronotum,Mass0,Delta_smi,Song_week1
12,2.100961538,0.19094,-0.008488429,0
24,2.427884615,0.20927,-0.030406475,0
24,2.221153846,0.15821,0.017614157,25
24,2.120192308,0.16891,-0.009739737,0
36,2.597115385,0.21899,0.002657443,1471
36,2.610576923,0.22149,0.006224136,0
36,2.563461538,0.21152,0.030768104,0
36,2.500961538,0.20844,0.017775158,56
48,2.467307692,0.22941,0.022960955,6996
48,2.391346154,0.2028,0.016830143,657
48,2.194230769,0.16303,0.013394015,417
48,2.182692308,0.19476,0.005547405,125
60,2.188461538,0.15261,0.032742552,5
60,2.5,0.20976,0.040017232,31
60,2.557692308,0.20495,0.052467418,848
60,2.289423077,0.17071,0.021820794,0
72,2.379807692,0.19564,0.043555892,0
72,2.399038462,0.20259,0.038776645,18
72,2.510576923,0.23482,0.027225075,509
72,2.385576923,0.19442,0.03797941,147
84,2.061538462,0.13571,0.020104379,6
84,2.426923077,0.23542,0.012084923,0
84,2.307692308,0.18624,0.036761536,702
84,2.300961538,0.19929,-0.020991707,156
12,2.491346154,0.21826,-0.04620981,0
12,2.245192308,0.20267,0.00014672,0
12,2.392307692,0.22106,NA,0
12,2.4625,0.20116,NA,0
12,2.1875,0.15287,0.0119972,384
12,2.155769231,0.16054,NA,0
12,2.246153846,0.1827,NA,5
12,2.574038462,0.24594,NA,10
12,2.413461538,0.19212,-0.027660497,0
12,2.432692308,0.20686,0.010526229,392
12,2.591346154,0.23496,0.009061225,142
12,2.351923077,0.18004,NA,0
12,2.294230769,0.17705,NA,0
12,2.302884615,0.17838,0.00356445,764
12,2.367307692,0.18571,0.006237697,0
12,2.370192308,0.22433,-0.002459247,23
24,2.264423077,0.18819,-0.010250361,0
24,2.380769231,0.20039,0.005737239,0
24,2.293269231,0.1991,-0.041050532,12862
24,2.183653846,0.15503,0.01531881,1184
24,2.357692308,0.18964,0.005468599,54
24,2.068269231,0.17331,NA,0
24,2.261538462,0.18262,0.000457212,91
24,2.379807692,0.21051,-0.003226362,11
24,2.284615385,0.16714,0.031449821,21
24,2.308653846,0.17311,0.007879267,53
24,2.341346154,0.17129,0.011743319,0
24,2.380769231,0.19982,0.00362088,103
24,2.322115385,0.16636,0.028725369,177
24,2.317307692,0.18684,0.004445548,0
24,2.4,0.24033,0.001331085,1412
24,2.471153846,0.21657,0.016674387,0
36,2.125,0.14399,0.014585987,194
36,2.548076923,0.22845,0.033949851,967
36,2.419230769,0.1779,0.015717897,74
36,2.385576923,0.17602,0.030690025,751
36,2.515384615,0.21267,0.026631337,1516
36,2.225961538,0.20993,-0.004204289,0
36,2.533653846,0.21652,0.039683115,4662
36,2.569230769,0.22022,0.025763867,5978
36,2.232692308,0.2164,-0.011749457,280
36,2.221153846,0.1958,-0.015263364,1054
36,2.302884615,0.16701,0.021266967,1688
36,2.458653846,0.22964,-0.002679634,2660
36,2.226923077,0.17481,0.01766405,1446
36,2.600961538,0.28292,-0.031721097,4998
36,2.332692308,0.17392,0.030366052,455
36,2.259615385,0.22154,-0.007273135,1099
48,2.646153846,0.22874,0.041096125,607
48,2.480769231,0.22698,0.039979725,3444
48,2.322115385,0.19446,0.021273521,2350
48,2.461538462,0.24895,0.005856125,17055
48,2.403846154,0.19758,0.037413391,7522
48,2.322115385,0.19276,0.027285807,6666
48,2.350961538,0.19673,NA,0
48,2.158653846,0.15747,0.002848244,0
48,2.322115385,0.2167,-0.006736772,5252
48,2.149038462,0.17709,0.006881444,4106
48,2.510576923,0.20828,0.024915138,295
48,2.524038462,0.23952,0.054560831,2001
48,2.432692308,0.21721,0.031939101,398
48,2.552884615,0.21953,0.037209036,3062
48,2.415384615,0.19014,0.043048298,4255
48,2.714423077,0.25196,0.007327845,5490
60,2.288461538,0.18553,0.02573986,1463
60,2.467307692,0.22851,0.029599738,3964
60,2.511538462,0.1995,0.023478659,1646
60,2.174038462,0.16883,0.003917748,14800
60,2.2625,0.16445,0.042883926,4184
60,2.419230769,0.21524,0.021309037,3282
60,2.332692308,0.18025,0.033945248,5733
60,2.360576923,0.18819,0.043120666,1246
60,2.427884615,0.21236,0.021104182,7156
60,2.294230769,0.19709,0.029454976,16397
60,2.302884615,0.19333,0.008160473,1850
60,2.384615385,0.17791,0.032018012,984
60,2.375961538,0.20088,0.030373959,5044
60,2.668269231,0.23393,0.03538599,8855
60,2.447115385,0.18995,0.042575541,4982
60,2.591346154,0.2368,0.039136514,2382
72,2.076923077,0.15347,0.00245979,10718
72,2.293269231,0.1804,0.044686306,12686
72,2.302884615,0.20515,0.024361683,20065
72,2.475961538,0.21355,0.030498727,12927
72,2.548076923,0.22975,0.032529306,11226
72,2.091346154,0.15847,5.0364E-05,15567
72,2.375961538,0.19552,0.02118394,15102
72,2.292307692,0.16727,0.038466852,494
72,2.266346154,0.17083,0.02819243,2401
72,2.359615385,0.17113,0.050016389,3620
72,2.097115385,0.17865,0.022889626,25744
72,2.4875,0.19983,0.052514304,6699
72,2.528846154,0.24366,0.08677818,20961
72,2.474038462,0.20636,0.03909352,9265
72,2.284615385,0.18665,0.025331319,8736
72,2.509615385,0.23367,0.045269362,19916
84,2.264423077,0.1729,0.026305143,1477
84,2.341346154,0.2074,0.034413114,11546
84,2.222115385,0.16846,0.0286947,5245
84,2.404807692,0.17342,0.013492514,167
84,2.139423077,0.18897,-0.0075807,1364
84,2.5,0.21396,0.035935929,634
84,2.308653846,0.16856,0.038849419,1250
84,2.200961538,0.17831,0.024686349,331
84,2.346153846,0.18247,0.05386738,13900
84,2.086538462,0.16369,0.021371801,32
84,2.433653846,0.17668,0.068622465,16791
84,2.375,0.21001,0.029066563,3959
84,2.303846154,0.18177,0.033746396,1653
84,2.408653846,0.17591,0.055266318,20822
84,2.799038462,0.29018,0.028263286,8801
84,2.447115385,0.21456,0.052358445,634
12,2.380769231,0.19316,NA,0
12,2.168269231,0.16383,NA,0
12,2.373076923,0.22226,-0.019446937,127
12,2.547115385,0.2261,-0.00496114,1138
12,2.478846154,0.20897,0.004004494,560
12,2.211538462,0.168,0.002673517,961
12,2.265384615,0.16268,-0.00280823,5
12,2.435576923,0.1876,-0.005869239,15
12,2.434615385,0.20379,-0.011832823,0
12,2.4375,0.19292,-0.01669515,0
12,2.357692308,0.21275,-0.016924287,1303
12,2.384615385,0.21805,-0.006314971,38
12,2.432692308,0.25002,-0.057793554,0
12,2.153846154,0.16582,NA,0
12,2.509615385,0.21479,0.003386878,279
12,2.317307692,0.20246,NA,0
24,2.451923077,0.20268,0.00736607,254
24,2.610576923,0.24113,0.022508508,3172
24,2.4375,0.23077,0.019411974,64
24,2.469230769,0.21812,0.008865734,9
24,2.1875,0.1681,0.009696256,1674
24,2.198076923,0.16522,0.004552874,234
24,2.223076923,0.21195,-0.007025969,185
24,2.563461538,0.236,0.015881094,12
24,2.451923077,0.214,0.00984306,40
24,2.428846154,0.20431,0.016068556,447
24,2.057692308,0.18369,-0.012361161,910
24,2.426923077,0.20146,0.012011171,3412
24,2.467307692,0.23082,0.021510095,1469
24,2.4,0.19992,0.013136787,860
24,2.405769231,0.20556,0.005758999,109
24,2.552884615,0.22149,0.027648881,0
36,2.326923077,0.185,0.004767291,515
36,2.158653846,0.16994,0.017627896,881
36,2.235576923,0.17157,0.011651828,0
36,2.476923077,0.23301,0.008792379,2593
36,2.610576923,0.25812,0.022699043,465
36,2.467307692,0.19159,0.011343086,8786
36,2.480769231,0.20693,0.014522883,524
36,2.425,0.18097,0.023163947,229
36,2.646153846,0.25582,0.054365241,244
36,2.332692308,0.18486,0.029823461,14
36,2.374038462,0.18792,0.034074964,523
36,2.5875,0.22703,0.003749782,5
36,2.428846154,0.20345,0.030648501,820
36,2.385576923,0.18479,0.017986533,3955
36,2.245192308,0.16472,0.007974637,0
36,2.294230769,0.17649,0.002335235,0
48,2.307692308,0.16895,0.024770053,3447
48,2.405769231,0.22008,-0.007901882,422
48,2.514423077,0.22961,0.039711742,375
48,2.134615385,0.16905,-0.010736973,0
48,2.468269231,0.19194,0.033260088,596
48,2.456730769,0.20622,0.031993337,1201
48,2.298076923,0.1854,0.027364686,1735
48,2.308653846,0.18799,0.030284193,137
48,2.211538462,0.15925,0.028578397,1599
48,2.510576923,0.21931,0.028673095,39
48,2.414423077,0.20063,0.005687476,8205
