"","species","class","order","maximum_lifespan_yr","mass_g","volancy","fossoriallity","foraging_environment","daily_activity"
"1","Dicrostonyx_groenlandicus","Mammalia","Rodentia",3.3,66,"nonvolant","semifossorial","terrestrial","cathemeral"
"3","Diphylla_ecaudata","Mammalia","Chiroptera",8,28,"volant","nonfossorial","terrestrial","nocturnal"
"4","Dipodillus_campestris","Mammalia","Rodentia",7.3,28.4,"nonvolant","semifossorial","terrestrial","nocturnal"
"5","Dipodomys_merriami","Mammalia","Rodentia",9.7,42,"nonvolant","semifossorial","terrestrial","nocturnal"
"8","Desmodus_rotundus","Mammalia","Chiroptera",29.2,33.2,"volant","nonfossorial","terrestrial","nocturnal"
"10","Dolichotis_patagonum","Mammalia","Rodentia",14.4,12500,"nonvolant","semifossorial","terrestrial","diurnal"
"12","Eidolon_helvum","Mammalia","Chiroptera",21.8,306.25,"volant","nonfossorial","volant","nocturnal"
"13","Elaphodus_cephalophus","Mammalia","Artiodactyla",22.7,33500,"nonvolant","nonfossorial","terrestrial","crepuscular"
"15","Enhydra_lutris","Mammalia","Carnivora",27,25850,"nonvolant","nonfossorial","aquatic","diurnal"
"16","Eptesicus_fuscus","Mammalia","Chiroptera",19,23,"volant","nonfossorial","volant","nocturnal"
"17","Eptesicus_nilssonii","Mammalia","Chiroptera",20,13,"volant","nonfossorial","volant","nocturnal"
"18","Eptesicus_serotinus","Mammalia","Chiroptera",21,18.2,"volant","nonfossorial","volant","nocturnal"
"26","Erethizon_dorsatum","Mammalia","Rodentia",23.4,8600,"nonvolant","nonfossorial","semiarboreal","nocturnal"
"28","Erythrocebus_patas","Mammalia","Primates",28.3,7750,"nonvolant","nonfossorial","terrestrial","diurnal"
"29","Eudorcas_thomsonii","Mammalia","Artiodactyla",20,25000,"nonvolant","nonfossorial","terrestrial","diurnal"
"30","Eulemur_coronatus","Mammalia","Primates",27,2500,"nonvolant","nonfossorial","semiarboreal","diurnal"
"31","Eulemur_fulvus","Mammalia","Primates",35.5,3150,"nonvolant","nonfossorial","semiarboreal","diurnal"
"32","Eulemur_macaco","Mammalia","Primates",36.2,2500,"nonvolant","nonfossorial","semiarboreal","diurnal"
"33","Eulemur_rubriventer","Mammalia","Primates",20,1765.3,"nonvolant","nonfossorial","semiarboreal","diurnal"
"35","Felis_chaus","Mammalia","Carnivora",20,10000,"nonvolant","nonfossorial","terrestrial","cathemeral"
"36","Felis_manul","Mammalia","Carnivora",15.9,3500,"nonvolant","nonfossorial","terrestrial","cathemeral"
"37","Felis_margarita","Mammalia","Carnivora",13.9,2750,"nonvolant","nonfossorial","terrestrial","nocturnal"
"38","Felis_nigripes","Mammalia","Carnivora",15.6,2125,"nonvolant","nonfossorial","terrestrial","nocturnal"
"39","Felis_silvestris","Mammalia","Carnivora",19,5500,"nonvolant","nonfossorial","terrestrial","nocturnal"
"40","Galago_moholi","Mammalia","Primates",16.6,175,"nonvolant","nonfossorial","arboreal","nocturnal"
"41","Galago_senegalensis","Mammalia","Primates",17.1,192.2,"nonvolant","nonfossorial","arboreal","nocturnal"
"42","Gazella_dorcas","Mammalia","Artiodactyla",23.7,14500,"nonvolant","nonfossorial","terrestrial","cathemeral"
"43","Gazella_gazella","Mammalia","Artiodactyla",18.3,23250,"nonvolant","nonfossorial","terrestrial","diurnal"
"44","Gazella_leptoceros","Mammalia","Artiodactyla",14.6,48500,"nonvolant","nonfossorial","terrestrial","crepuscular"
"45","Gazella_subgutturosa","Mammalia","Artiodactyla",16.3,48500,"nonvolant","nonfossorial","terrestrial","cathemeral"
"46","Genetta_genetta","Mammalia","Carnivora",22.7,1866.7,"nonvolant","nonfossorial","semiarboreal","nocturnal"
"47","Gerbillus_perpallidus","Mammalia","Rodentia",5.5,50,"nonvolant","semifossorial","terrestrial","nocturnal"
"48","Giraffa_camelopardalis","Mammalia","Artiodactyla",39.5,800000,"nonvolant","nonfossorial","terrestrial","crepuscular"
"49","Glossophaga_soricina","Mammalia","Chiroptera",11,10,"volant","nonfossorial","volant","nocturnal"
"50","Gorilla_gorilla","Mammalia","Primates",55.4,139842,"nonvolant","nonfossorial","terrestrial","diurnal"
"51","Graphiurus_murinus","Mammalia","Rodentia",6.9,24,"nonvolant","nonfossorial","semiarboreal","nocturnal"
"52","Gulo_gulo","Mammalia","Carnivora",19.5,16333.3,"nonvolant","nonfossorial","terrestrial","cathemeral"
"53","Acinonyx_jubatus","Mammalia","Carnivora",20.5,53500,"nonvolant","nonfossorial","terrestrial","diurnal"
"54","Acomys_cahirinus","Mammalia","Rodentia",5.9,45.2,"nonvolant","nonfossorial","terrestrial","nocturnal"
"55","Addax_nasomaculatus","Mammalia","Artiodactyla",28,92500,"nonvolant","nonfossorial","terrestrial","nocturnal"
"56","Aepyceros_melampus","Mammalia","Artiodactyla",25.6,52500,"nonvolant","nonfossorial","terrestrial","cathemeral"
"57","Ailurus_fulgens","Mammalia","Carnivora",19,4325,"nonvolant","nonfossorial","terrestrial","cathemeral"
"58","Alcelaphus_buselaphus","Mammalia","Artiodactyla",22.5,159000,"nonvolant","nonfossorial","terrestrial","diurnal"
"59","Alouatta_caraya","Mammalia","Primates",32.4,5462.5,"nonvolant","nonfossorial","arboreal","diurnal"
"60","Ammospermophilus_harrisii","Mammalia","Rodentia",10.6,126,"nonvolant","semifossorial","terrestrial","diurnal"
"61","Ammotragus_lervia","Mammalia","Artiodactyla",21.7,92500,"nonvolant","nonfossorial","terrestrial","crepuscular"
"62","Antidorcas_marsupialis","Mammalia","Artiodactyla",19.8,39000,"nonvolant","nonfossorial","terrestrial","cathemeral"
"63","Antilocapra_americana","Mammalia","Artiodactyla",15.5,46100,"nonvolant","nonfossorial","terrestrial","cathemeral"
"64","Antilope_cervicapra","Mammalia","Artiodactyla",23.9,37500,"nonvolant","nonfossorial","terrestrial","diurnal"
"65","Aonyx_cinerea","Mammalia","Carnivora",23,3000,"nonvolant","nonfossorial","aquatic","nocturnal"
"66","Aotus_lemurinus","Mammalia","Primates",33.8,874,"nonvolant","nonfossorial","arboreal","nocturnal"
"67","Aotus_trivirgatus","Mammalia","Primates",30.1,800,"nonvolant","nonfossorial","arboreal","nocturnal"
"68","Apodemus_sylvaticus","Mammalia","Rodentia",6.3,23.4,"nonvolant","semifossorial","terrestrial","nocturnal"
"69","Arctictis_binturong","Mammalia","Carnivora",27,12250,"nonvolant","nonfossorial","arboreal","nocturnal"
"70","Artibeus_jamaicensis","Mammalia","Chiroptera",19.2,42.2,"volant","nonfossorial","volant","nocturnal"
"71","Arvicanthis_niloticus","Mammalia","Rodentia",6.7,110,"nonvolant","nonfossorial","terrestrial","cathemeral"
"73","Ateles_chamek","Mammalia","Primates",42.8,6000,"nonvolant","nonfossorial","arboreal","diurnal"
"74","Ateles_fusciceps","Mammalia","Primates",46,7000,"nonvolant","nonfossorial","arboreal","diurnal"
"75","Ateles_geoffroyi","Mammalia","Primates",47.1,7267.5,"nonvolant","nonfossorial","arboreal","diurnal"
"76","Ateles_paniscus","Mammalia","Primates",46,7887.5,"nonvolant","nonfossorial","arboreal","diurnal"
"77","Axis_axis","Mammalia","Artiodactyla",20.8,36000,"nonvolant","nonfossorial","terrestrial","cathemeral"
"78","Axis_calamianensis","Mammalia","Artiodactyla",17.2,40500,"nonvolant","nonfossorial","terrestrial","cathemeral"
"79","Axis_porcinus","Mammalia","Artiodactyla",22.9,43000,"nonvolant","nonfossorial","terrestrial","cathemeral"
"80","Babyrousa_babyrussa","Mammalia","Artiodactyla",22.9,71500,"nonvolant","semifossorial","terrestrial","diurnal"
"81","Barbastella_barbastellus","Mammalia","Chiroptera",23,10.25,"volant","nonfossorial","volant","nocturnal"
"82","Bassariscus_astutus","Mammalia","Carnivora",19,1015,"nonvolant","nonfossorial","arboreal","nocturnal"
"84","Bison_bison","Mammalia","Artiodactyla",33.5,630000,"nonvolant","nonfossorial","terrestrial","diurnal"
"85","Bison_bonasus","Mammalia","Artiodactyla",26.4,610000,"nonvolant","nonfossorial","terrestrial","diurnal"
"86","Bos_frontalis","Mammalia","Artiodactyla",26.2,825000,"nonvolant","nonfossorial","terrestrial","cathemeral"
"87","Bos_grunniens","Mammalia","Artiodactyla",26.3,667000,"nonvolant","nonfossorial","terrestrial","cathemeral"
"88","Bos_javanicus","Mammalia","Artiodactyla",27.1,700000,"nonvolant","nonfossorial","terrestrial","cathemeral"
"89","Boselaphus_tragocamelus","Mammalia","Artiodactyla",21.7,180000,"nonvolant","nonfossorial","terrestrial","diurnal"
"90","Bubalus_bubalis","Mammalia","Artiodactyla",34.9,725000,"nonvolant","nonfossorial","terrestrial","diurnal"
"91","Bubalus_depressicornis","Mammalia","Artiodactyla",36.1,155000,"nonvolant","nonfossorial","terrestrial","diurnal"
"92","Budorcas_taxicolor","Mammalia","Artiodactyla",21.9,180000,"nonvolant","nonfossorial","terrestrial","crepuscular"
"94","Callicebus_cupreus","Mammalia","Primates",26.4,1120,"nonvolant","nonfossorial","arboreal","diurnal"
"95","Callicebus_donacophilus","Mammalia","Primates",25,795,"nonvolant","nonfossorial","arboreal","diurnal"
"96","Callimico_goeldii","Mammalia","Primates",22.2,555,"nonvolant","nonfossorial","semiarboreal","diurnal"
"97","Callithrix_argentata","Mammalia","Primates",16.5,343.2,"nonvolant","nonfossorial","arboreal","diurnal"
"98","Callithrix_geoffroyi","Mammalia","Primates",17.6,342,"nonvolant","nonfossorial","arboreal","diurnal"
"99","Callithrix_jacchus","Mammalia","Primates",22.8,255.2,"nonvolant","nonfossorial","arboreal","diurnal"
"100","Callithrix_kuhlii","Mammalia","Primates",20,342,"nonvolant","nonfossorial","arboreal","diurnal"
"101","Callithrix_penicillata","Mammalia","Primates",15.4,307,"nonvolant","nonfossorial","arboreal","diurnal"
"102","Callithrix_pygmaea","Mammalia","Primates",18.6,124,"nonvolant","nonfossorial","arboreal","diurnal"
"103","Callosciurus_prevostii","Mammalia","Rodentia",21.1,400,"nonvolant","nonfossorial","arboreal","diurnal"
"104","Camelus_bactrianus","Mammalia","Artiodactyla",35.4,475000,"nonvolant","nonfossorial","terrestrial","diurnal"
"105","Camelus_dromedarius","Mammalia","Artiodactyla",28.4,434000,"nonvolant","nonfossorial","terrestrial","diurnal"
"106","Canis_aureus","Mammalia","Carnivora",18.8,11000,"nonvolant","nonfossorial","terrestrial","nocturnal"
