name,sex,mass,bodylength,taillength,taildiameter,headwidth,headlength,meanforearm,meanhindlimb,meanfootlength,bodysize_PC1,acceleration,sprint,jump,grasp,bite,motorcontrol,maneuverability,Max_O2_consump,Performance_PC1,Performance_PC2,Performance_PC3
1,m,335,170.3333333,195.6666667,14.76333333,33.27666667,66.01,48.18666667,60.64333333,38.16833333,-0.830643231,0.063732768,-1.397546708,-1.070010746,-0.229358004,-0.488810433,0.150559952,-1.482719384,-0.448581397,-0.90185136,-1.66878321,0.682633296
2,f,235,154,182.3333333,10.64,32.13,64.15333333,45.04,56.94,34.66666667,-3.308790152,0.174641526,-0.057794088,-0.455044871,-0.823382363,-1.268646503,1.317217815,-0.4690388,-1.278179375,-2.12074638,0.12115924,0.012032818
3,f,248,155.6666667,190.3333333,11.92666667,33.15,63.71666667,46.52166667,56.41,37.38833333,-2.468406008,-0.638735517,-0.168750834,0.804664174,-0.504369281,-0.593703642,0.525304599,-0.159485839,0.578419169,-0.7457183,0.08877425,-0.349312641
4,m,342,180,180.3333333,13.21666667,36.35666667,67.69333333,50.91833333,64.41,40.98666667,0.609049485,-0.775809674,-0.168750834,-0.537903431,0.463670415,1.033697362,-1.335496406,-0.849596628,-0.401647325,0.8738014,-1.46887754,0.886521845
5,f,294,167.3333333,197,12.51333333,34.55333333,65.82,47.01333333,59.90333333,36.44333333,-1.454439609,-0.287267755,-0.323594456,0.596223109,-1.560412587,-0.472793366,0.525304599,-1.765131597,-1.380562492,-2.41654746,-0.3986082,1.11102732
6,f,322,174.6666667,223.6666667,14.57666667,34.33666667,66.76333333,50.24666667,62.09666667,40.68166667,0.366037002,-1.587369676,-1.951610517,-1.893417686,-1.417406722,-0.920660881,0.150559952,-0.7416051,0.070838575,-1.55344937,-3.02446298,-0.574454828
7,m,538,203.3333333,215.6666667,16.61,38.44,73.09666667,55.94833333,67.75666667,44.01166667,3.892793639,0.863023412,0.766578228,-1.419570296,0.804684399,1.758687929,-0.331254594,1.771547299,1.288246775,3.08177107,0.4083733,-1.047593641
8,f,251,148.6666667,180.6666667,12.91,32.90333333,63.81666667,45.645,57.185,39.67666667,-2.287184745,0.808010314,-1.345630864,0.267378199,-0.713377852,-0.396461702,2.183748993,1.271592399,-1.775501632,-2.11127206,0.92558968,-1.773647968
9,m,377,175,210.3333333,15.48333333,35.52666667,64.71333333,48.69,60.36,39.71166667,-0.109566182,0.697897593,0.052195657,2.126517139,0.540673573,0.708771497,1.191517305,0.644942309,0.338746742,0.28802883,1.98469589,-0.836803769
10,m,472,204.6666667,236,14.79,38.9,69.50333333,55.47833333,67.76833333,42.58333333,3.297932544,0.25500668,1.24858148,0.140501029,0.683679437,0.978541148,-2.139546223,-0.352058561,1.646091998,2.6526505,0.02343727,1.492349443
11,f,242,157,204.3333333,12.93,31.82666667,60.89333333,44.5,55.315,36.02833333,-3.142393906,-0.541324782,0.660477241,-0.664780601,-0.834382814,-1.029773035,0.331888007,-2.360414458,-1.560863611,-2.08479077,-0.86952675,1.774195935
12,f,392,176.6666667,215.3333333,16.40333333,35.60666667,64.13333333,46.64666667,61.825,39.94333333,-0.000530637,0.202797018,-1.371547576,-0.275086436,0.166658236,0.676519789,0.331888007,-0.570454481,0.212452075,0.24130833,-0.9090765,-0.199390915
13,f,282,180.6666667,208.6666667,12.75333333,32.08,64.20333333,49.315,59.82,39.60666667,-0.908748351,-0.030303462,-0.249441064,0.055053139,-0.087662114,-1.210390673,-0.256771186,0.773967025,0.027681827,-0.51073479,0.11760962,-0.261118113
14,f,390,185.6666667,231.3333333,14.96,37.31,65.37,48.265,60.875,38.47833333,0.351201162,-1.555493574,-0.087289756,-0.792952436,0.814068117,-0.127183425,0.331888007,-0.511752045,-0.217857106,-0.03901094,-1.31656064,-0.425615783
15,m,625,204.3333333,265,17.66666667,40.92666667,73.54333333,53.48666667,70.54666667,42.895,4.709192141,1.178946379,0.204159512,-1.235727866,0.656052467,2.259104067,-0.474014459,0.745119809,1.720659879,3.28971179,-0.0449928,-0.409712109
16,f,264,159.3333333,208,12.46666667,32.79333333,62.87333333,46.52333333,56.34333333,37.63833333,-2.279745305,-0.352127488,-0.62060407,0.236306239,-1.541819346,-1.1332721,-0.403639878,0.166806365,-1.136136506,-2.01594359,-0.37878492,0.244175652
17,m,449,187,213.3333333,15.11,35.90333333,72.36,54.34833333,65.33,40.015,2.003891205,-0.016217063,-0.188202972,-0.537903431,0.149087742,-0.181603809,0.064080418,-1.14425968,1.12673273,0.46017033,-0.78586039,0.545277558
18,f,370,176.3333333,228,14.94666667,36.32333333,68.00333333,47.95,60.02333333,37.51,0.031092683,-0.358668837,0.747952706,0.321754129,1.163631994,0.344699435,-0.180097089,-1.01088546,0.595194487,1.02333251,-0.03283107,0.727795193
19,m,363,186.6666667,244.3333333,12.33,36.70333333,68.57666667,53.20166667,63.95333333,41.58666667,1.56548806,0.948320536,0.337254924,1.055829184,-0.070273178,-0.227016812,-0.54246097,1.490389141,0.079523574,0.3480849,1.54057977,-0.167663146
20,f,252,151.6666667,177.6666667,12.03666667,33.44,66.65666667,46.61666667,58.85333333,38.41666667,-1.929306999,0.121531996,-0.729748663,0.480997924,-1.112237545,-0.526657915,-0.403639878,0.616464167,0.70866795,-0.42661351,-0.01548779,-0.25982978
21,f,458,177.3333333,232.6666667,16.80666667,36.81,66.90333333,48.90833333,63.555,36.98333333,0.652860842,-0.43282144,2.069937685,0.319164799,1.227612262,0.782592421,-1.187813786,0.925457566,0.726987538,2.25295502,0.92536588,0.199235945
22,f,348,174.6666667,222,12.63333333,35.46,66.87666667,50.565,64.22,40.585,0.461926437,-1.133559209,1.170279164,0.077062444,-0.11982388,0.627824244,0.064080418,0.421661133,0.165053106,0.47909201,0.15078102,-0.500970783
23,m,634,201,236.6666667,17.25333333,38.94666667,73.33666667,58.30833333,69.85,44.18333333,4.662939471,-1.082180194,-0.212641647,-1.367783696,0.786820914,2.55165914,-0.101134214,-0.291030569,2.460367108,3.17211244,-1.7645187,-0.978982033
24,f,526,190,220.3333333,15.82333333,38.13,68.34,50.35833333,64.22833333,37.40333333,1.253985691,0.921653287,0.511253631,0.648009709,0.317592468,1.237045643,-1.602277912,0.908809599,1.336041613,2.35965008,0.79102582,0.435458231
25,m,326,167,139.3333333,12.74,34.15333333,62.00666667,47.63,61.415,38.52,-1.875608044,-0.105442458,0.082525764,2.316832895,0.086763593,0.760832798,1.583407131,1.087421047,-0.898753138,-0.77147489,1.97068459,-1.442493426
