,Climate_region,Income_binary,Country_Name,Country_Code,Region,Income_group,Population,Land_area,Forest_area,Precipitation,Population_density,Capital_lat,GNP_per_Cap,Population_growth,Cereal_yield,Female_life_expectancy,Under_5_mortality,Renewables,CO2,PM25,Women_in_parliament,GINI_index,Govt_spend_education,Secondary_school_enrolment,School_gender_parity
1,Tropical,Low,Afghanistan,AFG,South Asia,Low income,33370794,652860,2.06782465,327,51.11477805,33,630,3.35558166,2017.5,64.453,73.6,19.3142686,0.293946407,59.01033025,27.7,NA,3.69522,52.5829,0.65402
2,Tropical,Low,Angola,AGO,Sub-Saharan Africa,Lower middle income,26941779,1246700,46.5074202,1010,21.61047485,-13,5010,3.49749274,888.3,61.591,92.9,50.7974607,1.290306776,32.97402504,36.8,NA,NA,NA,NA
3,Temperate or Polar,High,Albania,ALB,Europe & Central Asia,Upper middle income,2889104,27400,28.1919716,1485,105.4417518,41,4540,-0.207047,4892.6,80.045,10,38.6895008,1.978763312,18.88395497,20,NA,NA,97.68487,0.97668
4,Temperate or Polar,High,Andorra,AND,Europe & Central Asia,High income,79213,470,34.0425532,NA,168.5382979,43,NA,-1.9514705,NA,0,3.4,19.8863229,5.832906215,10.83041825,50,NA,2.99781,NA,NA
5,Tropical,High,United Arab Emirates,ARE,Middle East & North Africa,High income,9214175,71020,4.52745717,78,129.740566,24,44330,0.17667748,12542.9,78.504,7.9,0.1456714,22.93960631,37.98342106,17.5,NA,NA,NA,NA
6,Tropical,High,Argentina,ARG,Latin America & Caribbean,Upper middle income,42669500,2736690,10.0153108,591,15.59164538,-34,12350,1.09946109,4832.3,79.281,12,10.9019579,4.781507775,14.46698041,36.6,41.7,5.36144,106.0356,1.03123
7,Temperate or Polar,High,Armenia,ARM,Europe & Central Asia,Upper middle income,2912403,28470,11.6543726,562,102.2972603,40,4140,0.51012273,3181.6,77.446,15.1,7.72473444,1.898719374,33.08594982,10.7,31.5,2.24724,85.88351,1.04034
8,Tropical,High,Antigua and Barbuda,ATG,Latin America & Caribbean,High income,92562,440,22.2727277,1030,210.3681818,17,12730,1.13648699,1591,77.566,7.6,0,5.744419956,19.72558362,11.1,NA,NA,106.9801,0.97434
9,Temperate or Polar,High,Australia,AUS,East Asia & Pacific,High income,23475686,7682300,16.1986645,534,3.055814795,-35,65150,1.49156649,2137.9,84.4,4,9.27819846,15.38876602,9.492978752,26,35.8,5.17368,NA,NA
10,Temperate or Polar,High,Austria,AUT,Europe & Central Asia,High income,8546356,82522.998,46.8620875,1110,103.5633243,47,50370,0.78154163,7045.8,84,3.8,35.3942733,6.86986793,13.37922794,32.2,30.5,5.44762,99.66308,0.97232
